problem,instance,method,nb_items,objective,time_ms,gap
KCTSP,a280,Greedy,1395,372631,1,
KCTSP,a280,Greedy,2790,1039609,1,
KCTSP,a280,Greedy,279,23955,0,
KCTSP,fnl4461,Greedy,22300,5744486,397,
KCTSP,fnl4461,Greedy,44600,16296595,387,
KCTSP,fnl4461,Greedy,4460,345923,170,
KCTSP,pla33810,Greedy,169045,45832952,23437,
KCTSP,pla33810,Greedy,338090,129162098,20498,
KCTSP,pla33810,Greedy,33809,2605201,7629,
TTP,a280,Greedy,1395,-125567,13,
TTP,a280,Greedy,2790,-649008,15,
TTP,a280,Greedy,279,7845,12,
TTP,fnl4461,Greedy,22300,-2591714,322,
TTP,fnl4461,Greedy,44600,-12212025,434,
TTP,fnl4461,Greedy,4460,32532,221,
TTP,pla33810,Greedy,169045,-9044856,18966,
TTP,pla33810,Greedy,338090,-58152376,23004,
TTP,pla33810,Greedy,33809,568287,11300,
KCTSP,a280,Iterative,1395,391764,2494,
KCTSP,a280,Iterative,2790,1088166,6422,
KCTSP,a280,Iterative,279,24950,523,
KCTSP,fnl4461,Iterative,22300,6318790,1889461,
KCTSP,fnl4461,Iterative,44600,17707356,2016480,
KCTSP,fnl4461,Iterative,4460,380212,119069,
TTP,a280,Iterative,1395,79474,2942,
TTP,a280,Iterative,1395,87648,2881,
TTP,a280,Iterative,2790,369888,5643,
TTP,a280,Iterative,2790,390308,5585,
TTP,a280,Iterative,279,14772,867,
TTP,a280,Iterative,279,16475,890,
TTP,fnl4461,Iterative,22300,1372725,57848,
TTP,fnl4461,Iterative,22300,1405890,57920,
TTP,fnl4461,Iterative,44600,5378870,126777,
TTP,fnl4461,Iterative,44600,5469995,128230,
TTP,fnl4461,Iterative,4460,200018,13639,
TTP,fnl4461,Iterative,4460,201569,13891,
TTP,pla33810,Iterative,169045,9981623,1076487,
TTP,pla33810,Iterative,338090,29006314,1721894,
TTP,pla33810,Iterative,33809,1238425,377535,
TTP,pla33810,Iterative,33809,1240564,376015,
KCTSP,a280,PLNE_split,1395,391145,5246,
KCTSP,a280,PLNE_split,2790,1097721,5377,
KCTSP,a280,PLNE_split,279,36314,5426,
KCTSP,a280,PLNE_complete,279,14086.14,300000,1.99
KCTSP,a280,PLNE_complete,1395,48459.23,300000,9.09
KCTSP,a280,PLNE_complete,2790,305288.41,300000,3.51
TTP,a280,RLS,1395,91694,3072,
TTP,a280,RLS,2790,357832,3341,
TTP,a280,RLS,279,10582,2877,
TTP,a280,SH,1395,-5651,3105,
TTP,a280,SH,2790,151571,3081,
TTP,a280,SH,279,10410,3102,
